QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,MCC,NBD,LOC,#Pa,#MC,#AF
junit5-2016-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.example.mockito,com.example.mockito,low,low,low,low,,,,,,4,18,,,,,,,,,,,,2,1,1,18,0,1,0.5,1,0.5,4,,,,,,
com.example.mockito.InjectMock,InjectMock,low,low,low,low,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,0,,,,,,
com.example.mockito.MockitoExtension,MockitoExtension,low,low-medium,low,low,6,34,4,1,0,4,15,13,1,0,4,0,0,0,0.45,0.833,0,0,,,,15,,,,,,4,,,,,,
<Method>com.example.mockito.MockitoExtension.public MockitoExtension( ): void,MockitoExtension( ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>com.example.mockito.MockitoExtension.public postProcessTestInstance( TestExtensionContext ): void,postProcessTestInstance( TestExtensionContext ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,0
"<Method>com.example.mockito.MockitoExtension.public resolve( Parameter, MethodContext, ExtensionContext ): Object","resolve( Parameter, MethodContext, ExtensionContext ): Object",low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,3,2,1
"<Method>com.example.mockito.MockitoExtension.public supports( Parameter, MethodContext, ExtensionContext ): boolean","supports( Parameter, MethodContext, ExtensionContext ): boolean",low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,1,0
<Field>com.example.mockito.MockitoExtension->mocksInScope,final mocksInScope : ContextScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.example.timing,com.example.timing,low,low,low,low,,,,,,4,18,,,,,,,,,,,,1,1,0,18,0,1,0,1,0,4,,,,,,
com.example.timing.TimingExtension,TimingExtension,low,low,low,low,3,13,10,1,0,4,18,16,0,1,4,0,0,0,0.5,0,0,0,,,,18,,,,,,4,,,,,,
<Method>com.example.timing.TimingExtension.private afterEach( TestExtensionContext ): void,afterEach( TestExtensionContext ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,1,8,0
<Method>com.example.timing.TimingExtension.private beforeEach( TestExtensionContext ): void,beforeEach( TestExtensionContext ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,4,0
<Method>com.example.timing.TimingExtension.private createKey( Method ): String,createKey( Method ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>com.example.timing.TimingExtension.public registerExtensions( ExtensionRegistry ): void,registerExtensions( ExtensionRegistry ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,2,0
<Field>com.example.timing.TimingExtension->TIMING_KEY_PREFIX,static final TIMING_KEY_PREFIX : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.junit.gen5.api,org.junit.gen5.api,low,low,medium-high,low,,,,,,93,217,,,,,,,,,,,,12,2,10,217,1,2,0.833,0.667,0.5,93,,,,,,
org.junit.gen5.api.AfterAll,AfterAll,low,low,low,low,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,0,,,,,,
org.junit.gen5.api.AfterEach,AfterEach,low,low,low,low,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,0,,,,,,
org.junit.gen5.api.Assertions,Assertions,medium-high,low,low-medium,low-medium,2,62,34,1,0,66,132,131,0,0,1,46,0,0,0.676,0,0,0,,,,132,,,,,,66,,,,,,
<Method>org.junit.gen5.api.Assertions.private Assertions( ): void,Assertions( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.junit.gen5.api.Assertions.public static assertAll( Executable ): void,static assertAll( Executable ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertAll( String, Executable ): void","static assertAll( String, Executable ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,13,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertEquals( Object, Object ): void","static assertEquals( Object, Object ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertEquals( Object, Object, String ): void","static assertEquals( Object, Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertEquals( Object, Object, Supplier ): void","static assertEquals( Object, Object, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,0
<Method>org.junit.gen5.api.Assertions.public static assertFalse( BooleanSupplier ): void,static assertFalse( BooleanSupplier ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertFalse( BooleanSupplier, String ): void","static assertFalse( BooleanSupplier, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertFalse( BooleanSupplier, Supplier ): void","static assertFalse( BooleanSupplier, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,0
<Method>org.junit.gen5.api.Assertions.public static assertFalse( boolean ): void,static assertFalse( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertFalse( boolean, String ): void","static assertFalse( boolean, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertFalse( boolean, Supplier ): void","static assertFalse( boolean, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertNotEquals( Object, Object ): void","static assertNotEquals( Object, Object ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertNotEquals( Object, Object, String ): void","static assertNotEquals( Object, Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertNotEquals( Object, Object, Supplier ): void","static assertNotEquals( Object, Object, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,0
<Method>org.junit.gen5.api.Assertions.public static assertNotNull( Object ): void,static assertNotNull( Object ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertNotNull( Object, String ): void","static assertNotNull( Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertNotNull( Object, Supplier ): void","static assertNotNull( Object, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,0
"<Method>org.junit.gen5.api.Assertions.public static assertNotSame( Object, Object ): void","static assertNotSame( Object, Object ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertNotSame( Object, Object, String ): void","static assertNotSame( Object, Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertNotSame( Object, Object, Supplier ): void","static assertNotSame( Object, Object, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,0
<Method>org.junit.gen5.api.Assertions.public static assertNull( Object ): void,static assertNull( Object ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertNull( Object, String ): void","static assertNull( Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertNull( Object, Supplier ): void","static assertNull( Object, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,0
"<Method>org.junit.gen5.api.Assertions.public static assertSame( Object, Object ): void","static assertSame( Object, Object ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertSame( Object, Object, String ): void","static assertSame( Object, Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertSame( Object, Object, Supplier ): void","static assertSame( Object, Object, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,0
"<Method>org.junit.gen5.api.Assertions.public static assertThrows( Class, Executable ): void","static assertThrows( Class, Executable ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
<Method>org.junit.gen5.api.Assertions.public static assertTrue( BooleanSupplier ): void,static assertTrue( BooleanSupplier ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertTrue( BooleanSupplier, String ): void","static assertTrue( BooleanSupplier, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertTrue( BooleanSupplier, Supplier ): void","static assertTrue( BooleanSupplier, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,0
<Method>org.junit.gen5.api.Assertions.public static assertTrue( boolean ): void,static assertTrue( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertTrue( boolean, String ): void","static assertTrue( boolean, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assertions.public static assertTrue( boolean, Supplier ): void","static assertTrue( boolean, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
<Method>org.junit.gen5.api.Assertions.private static buildPrefix( String ): String,static buildPrefix( String ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,0
"<Method>org.junit.gen5.api.Assertions.public static expectThrows( Class, Executable ): T","static expectThrows( Class, Executable ): T",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,13,2,8,0
<Method>org.junit.gen5.api.Assertions.public static fail( String ): void,static fail( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Method>org.junit.gen5.api.Assertions.public static fail( Supplier ): void,static fail( Supplier ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,0
"<Method>org.junit.gen5.api.Assertions.private static failEqual( Object, String ): void","static failEqual( Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,0
"<Method>org.junit.gen5.api.Assertions.private static failNotEqual( Object, Object, String ): void","static failNotEqual( Object, Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,2,0
"<Method>org.junit.gen5.api.Assertions.private static failNotNull( Object, String ): void","static failNotNull( Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,0
"<Method>org.junit.gen5.api.Assertions.private static failNotSame( Object, Object, String ): void","static failNotSame( Object, Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,2,0
<Method>org.junit.gen5.api.Assertions.private static failNull( String ): void,static failNull( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,0
<Method>org.junit.gen5.api.Assertions.private static failSame( String ): void,static failSame( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,0
"<Method>org.junit.gen5.api.Assertions.private static format( Object, Object, String ): String","static format( Object, Object, String ): String",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,9,3,6,0
"<Method>org.junit.gen5.api.Assertions.private static formatClassAndValue( Object, String ): String","static formatClassAndValue( Object, String ): String",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,2,0
<Method>org.junit.gen5.api.Assertions.private static nullSafeGet( Supplier ): String,static nullSafeGet( Supplier ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,0
org.junit.gen5.api.Assumptions,Assumptions,low-medium,low,low,low,2,23,10,1,0,22,41,40,0,0,1,15,0,0,0.573,0,0,0,,,,41,,,,,,22,,,,,,
<Method>org.junit.gen5.api.Assumptions.private Assumptions( ): void,Assumptions( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.junit.gen5.api.Assumptions.public static assumeFalse( BooleanSupplier ): void,static assumeFalse( BooleanSupplier ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assumptions.public static assumeFalse( BooleanSupplier, String ): void","static assumeFalse( BooleanSupplier, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assumptions.public static assumeFalse( BooleanSupplier, Supplier ): void","static assumeFalse( BooleanSupplier, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,3,0
<Method>org.junit.gen5.api.Assumptions.public static assumeFalse( boolean ): void,static assumeFalse( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assumptions.public static assumeFalse( boolean, String ): void","static assumeFalse( boolean, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assumptions.public static assumeFalse( boolean, Supplier ): void","static assumeFalse( boolean, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
<Method>org.junit.gen5.api.Assumptions.public static assumeTrue( BooleanSupplier ): void,static assumeTrue( BooleanSupplier ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assumptions.public static assumeTrue( BooleanSupplier, String ): void","static assumeTrue( BooleanSupplier, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assumptions.public static assumeTrue( BooleanSupplier, Supplier ): void","static assumeTrue( BooleanSupplier, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,3,0
<Method>org.junit.gen5.api.Assumptions.public static assumeTrue( boolean ): void,static assumeTrue( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.gen5.api.Assumptions.public static assumeTrue( boolean, String ): void","static assumeTrue( boolean, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assumptions.public static assumeTrue( boolean, Supplier ): void","static assumeTrue( boolean, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.gen5.api.Assumptions.public static assumingThat( BooleanSupplier, Executable ): void","static assumingThat( BooleanSupplier, Executable ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,0
"<Method>org.junit.gen5.api.Assumptions.public static assumingThat( boolean, Executable ): void","static assumingThat( boolean, Executable ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,8,2,1,0
<Method>org.junit.gen5.api.Assumptions.private static throwTestAbortedException( String ): void,static throwTestAbortedException( String ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1,0
org.junit.gen5.api.BeforeAll,BeforeAll,low,low,low,low,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,0,,,,,,
org.junit.gen5.api.BeforeEach,BeforeEach,low,low,low,low,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,0,,,,,,
org.junit.gen5.api.Disabled,Disabled,low,low,low,low,0,1,0,1,0,1,5,1,0,0,1,0,0,0,0,0,0,0,,,,5,,,,,,1,,,,,,
<Method>org.junit.gen5.api.Disabled.public abstract value( ): String,value( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
org.junit.gen5.api.Executable,Executable,low,low,low,low,0,1,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,,,,3,,,,,,1,,,,,,
<Method>org.junit.gen5.api.Executable.public abstract execute( ): void,execute( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
org.junit.gen5.api.Name,Name,low,low,low,low,0,1,0,1,0,1,5,1,0,0,1,0,0,0,0,0,0,0,,,,5,,,,,,1,,,,,,
<Method>org.junit.gen5.api.Name.public abstract value( ): String,value( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
org.junit.gen5.api.Nested,Nested,low,low,low,low,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,0,,,,,,
org.junit.gen5.api.Tag,Tag,low,low,low,low,0,1,0,1,0,1,6,1,0,0,1,0,0,0,0,0,0,0,,,,6,,,,,,1,,,,,,
<Method>org.junit.gen5.api.Tag.public abstract value( ): String,value( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
org.junit.gen5.api.Tags,Tags,low,low,low,low,1,1,0,1,0,1,5,1,0,0,1,0,0,0,0,0,0,0,,,,5,,,,,,1,,,,,,
<Method>org.junit.gen5.api.Tags.public abstract value( ): Tag,value( ): Tag,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Package>org.junit.gen5.api.extension,org.junit.gen5.api.extension,low,low-medium,medium-high,low,,,,,,39,117,,,,,,,,,,,,21,6,15,117,14,7,0.714,0.333,0.047,39,,,,,,
org.junit.gen5.api.extension.AfterAllExtensionPoint,AfterAllExtensionPoint,low,low,low,low,1,1,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,,,,3,,,,,,1,,,,,,
<Method>org.junit.gen5.api.extension.AfterAllExtensionPoint.public abstract afterAll( ContainerExtensionContext ): void,afterAll( ContainerExtensionContext ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
org.junit.gen5.api.extension.AfterEachExtensionPoint,AfterEachExtensionPoint,low,low,low,low,1,1,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,,,,3,,,,,,1,,,,,,
<Method>org.junit.gen5.api.extension.AfterEachExtensionPoint.public abstract afterEach( TestExtensionContext ): void,afterEach( TestExtensionContext ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
org.junit.gen5.api.extension.BeforeAllExtensionPoint,BeforeAllExtensionPoint,low,low,low,low,1,1,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,,,,3,,,,,,1,,,,,,
<Method>org.junit.gen5.api.extension.BeforeAllExtensionPoint.public abstract beforeAll( ContainerExtensionContext ): void,beforeAll( ContainerExtensionContext ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
org.junit.gen5.api.extension.BeforeEachExtensionPoint,BeforeEachExtensionPoint,low,low,low,low,1,1,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,,,,3,,,,,,1,,,,,,
<Method>org.junit.gen5.api.extension.BeforeEachExtensionPoint.public abstract beforeEach( TestExtensionContext ): void,beforeEach( TestExtensionContext ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
org.junit.gen5.api.extension.ConditionEvaluationResult,ConditionEvaluationResult,low,low,low,low,1,38,3,1,0,6,20,17,2,0,4,2,0,0.333,0.444,0.8,0,0,,,,20,,,,,,6,,,,,,
"<Method>org.junit.gen5.api.extension.ConditionEvaluationResult.private ConditionEvaluationResult( boolean, String ): void","ConditionEvaluationResult( boolean, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,2
<Method>org.junit.gen5.api.extension.ConditionEvaluationResult.public getReason( ): Optional,getReason( ): Optional,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.junit.gen5.api.extension.ConditionEvaluationResult.public isDisabled( ): boolean,isDisabled( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.junit.gen5.api.extension.ConditionEvaluationResult.public static disabled( String ): ConditionEvaluationResult,static disabled( String ): ConditionEvaluationResult,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Method>org.junit.gen5.api.extension.ConditionEvaluationResult.public static enabled( String ): ConditionEvaluationResult,static enabled( String ): ConditionEvaluationResult,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Method>org.junit.gen5.api.extension.ConditionEvaluationResult.public toString( ): String,toString( ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,0,3,2
<Field>org.junit.gen5.api.extension.ConditionEvaluationResult->enabled,final enabled : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.junit.gen5.api.extension.ConditionEvaluationResult->reason,final reason : Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.junit.gen5.api.extension.ContainerExecutionCondition,ContainerExecutionCondition,low,low,low,low,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,,,,3,,,,,,1,,,,,,
<Method>org.junit.gen5.api.extension.ContainerExecutionCondition.public abstract evaluate( ContainerExtensionContext ): ConditionEvaluationResult,evaluate( ContainerExtensionContext ): ConditionEvaluationResult,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
org.junit.gen5.api.extension.ContainerExtensionContext,ContainerExtensionContext,low,low,low,low,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,0,,,,,,
"org.junit.gen5.api.extension.ContextScope<K,V>",ContextScope,low,low,low,low,2,14,12,1,0,8,28,23,2,0,5,0,0,0.75,0.571,0,0,0,,,,28,,,,,,8,,,,,,
org.junit.gen5.api.extension.ContextScope.Inheritance,Inheritance,low,low,low,low,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,0,,,,,,0,,,,,,
"<Method>org.junit.gen5.api.extension.ContextScope<K,V>.public ContextScope( Function, Inheritance ): void","ContextScope( Function, Inheritance ): void",low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,1
"<Method>org.junit.gen5.api.extension.ContextScope<K,V>.public get( ExtensionContext, K ): V","get( ExtensionContext, K ): V",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,2,4,1
"<Method>org.junit.gen5.api.extension.ContextScope<K,V>.private getInContext( Optional, K ): V","getInContext( Optional, K ): V",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,10,2,6,0
"<Method>org.junit.gen5.api.extension.ContextScope<K,V>.private putInContext( ExtensionContext, K, V ): void","putInContext( ExtensionContext, K, V ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,2,0
"<Method>org.junit.gen5.api.extension.ContextScope<K,V>.private valuesFor( ExtensionContext ): Map",valuesFor( ExtensionContext ): Map,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
"<Field>org.junit.gen5.api.extension.ContextScope<K,V>->creator",final creator : Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<Field>org.junit.gen5.api.extension.ContextScope<K,V>->values",values : Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.junit.gen5.api.extension.ExtendWith,ExtendWith,low,low,low,low,0,1,0,1,0,1,7,1,0,0,1,0,0,0,0,0,0,0,,,,7,,,,,,1,,,,,,
<Method>org.junit.gen5.api.extension.ExtendWith.public abstract value( ): Class,value( ): Class,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
org.junit.gen5.api.extension.ExtensionConfigurationException,ExtensionConfigurationException,medium-high,low,low,low,0,1,0,4,0,1,4,2,0,0,1,0,0,0,0,0,0,0,,,,4,,,,,,1,,,,,,
